Title,Total Earnings,Foriegn Earnings,Year,IMDB
Then She Found Me,"$8,400,000 ","$3,700,000 ",2008,6.9
Death Defying Acts,"$8,400,000 ","$5,700 ",2008,6.9
Contre-Enquete,"$8,000,000 ","$11,800 ",2008,6.9
Funny Games,"$7,900,000 ","$1,300,000 ",2008,6.9
Goal 2: Living the Dream,"$7,900,000 ","$225,000 ",2008,6.9
The Children of Huang Shi,"$7,800,000 ","$1,000,000 ",2008,7
Thoda Pyaar Thoda Magic,"$7,600,000 ","$365,000 ",2008,4.9
Kidnap,"$7,600,000 ", $-   ,2008,4.6
Nothing Like the Holidays,"$7,500,000 ","$7,500,000 ",2008,6.1
Mere Baap Pahle Aap,"$7,400,000 ","$114,000 ",2008,6.1
A Christmas Tale,"$7,400,000 ","$1,100,000 ",2008,7.1
I Served the King of England,"$7,300,000 ","$617,000 ",2008,7.1
Krazzy 4,"$7,300,000 ","$487,000 ",2008,4.1
The Life Before Her Eyes,"$7,200,000 ","$303,000 ",2008,4.1
Young@Heart,"$7,100,000 ","$4,000,000 ",2008,4.1
One Piece Movie: The Desert Princess and the Pirates Adventures in Alabasta,"$7,100,000 ","$6,600 ",2008,4.1
Days and Clouds,"$7,000,000 ","$112,000 ",2008,4.1
Strange Wilderness,"$7,000,000 ","$6,600,000 ",2008,5.3
The Unknown Woman,"$6,900,000 ","$152,000 ",2008,5.3
Flawless (2008),"$6,800,000 ","$1,200,000 ",2008,5.3
Kenny,"$6,700,000 ","$69,200 ",2008,5.3
What Just Happened?,"$6,700,000 ","$1,100,000 ",2008,5.3
College,"$6,300,000 ","$4,700,000 ",2008,4.6
Flash Point,"$6,200,000 ","$5,200 ",2008,4.6
One Two Three,"$6,100,000 ","$275,000 ",2008,5.2
Transsiberian,"$5,900,000 ","$2,200,000 ",2008,6.7
Passengers,"$5,800,000 ","$292,000 ",2008,5.9
Drona,"$5,500,000 ","$475,000 ",2008,5.9
Frozen River,"$5,400,000 ","$2,500,000 ",2008,7.1
George A. Romero's Diary of the Dead,"$5,400,000 ","$959,000 ",2008,7.1
Man on Wire,"$5,300,000 ","$3,000,000 ",2008,7.7
Charlie Bartlett,"$5,300,000 ","$4,000,000 ",2008,7.7
Yuvvraaj,"$5,200,000 ","$570,000 ",2008,4.1
The Grocer's Son,"$5,100,000 ","$265,000 ",2008,4.1
Shrooms,"$5,000,000 ","$2,900 ",2008,4.1
Hamlet 2,"$4,900,000 ","$4,900,000 ",2008,6.3
Roman de Gare,"$4,800,000 ","$1,900,000 ",2008,6.3
Flash of Genius,"$4,800,000 ","$4,400,000 ",2008,7
Bottle Shock,"$4,600,000 ","$4,100,000 ",2008,6.8
Rogue,"$4,600,000 ","$10,500 ",2008,6.8
Paranoid Park,"$4,500,000 ","$487,000 ",2008,6.8
"Synecdoche, New York","$4,400,000 ","$3,100,000 ",2008,7.6
Heroes (2008),"$4,200,000 ","$656,000 ",2008,7.6
Eden Lake,"$4,000,000 ","$7,300 ",2008,6.8
Choke,"$4,000,000 ","$2,900,000 ",2008,6.5
Brick Lane,"$3,800,000 ","$1,100,000 ",2008,6.5
The Fall,"$3,700,000 ","$2,300,000 ",2008,6.5
Midnight Meat Train,"$3,500,000 ","$83,400 ",2008,6.5
Pathology,"$3,200,000 ","$110,000 ",2008,6
The Year My Parents Went on Vacation,"$3,200,000 ","$807,000 ",2008,6
The Wackness,"$3,200,000 ","$2,100,000 ",2008,7
Mother of Tears,"$3,100,000 ","$58,700 ",2008,7
The Witnesses,"$3,000,000 ","$78,400 ",2008,7
Elsa & Fred,"$3,000,000 ","$189,000 ",2008,7
Love Songs,"$3,000,000 ","$105,000 ",2008,7
God Tussi Great Ho,"$2,900,000 ","$164,000 ",2008,3.6
Married Life,"$2,900,000 ","$1,500,000 ",2008,3.6
When Did You Last See Your Father,"$2,800,000 ","$1,100,000 ",2008,3.6
Ben X,"$2,700,000 ","$1,600 ",2008,3.6
XXY,"$2,700,000 ","$48,300 ",2008,3.6
Sukiyaki Western Django,"$2,700,000 ","$50,700 ",2008,3.6
Hunger (2008),"$2,700,000 ","$154,000 ",2008,3.6
Redbelt,"$2,700,000 ","$2,300,000 ",2008,6.7
The Air I Breathe,"$2,600,000 ","$25,800 ",2008,6.7
City of Men,"$2,600,000 ","$325,000 ",2008,6.7
Still Life,"$2,500,000 ","$77,000 ",2008,6.7
Tuya's Marriage,"$2,500,000 ","$88,100 ",2008,6.7
JCVD,"$2,300,000 ","$471,000 ",2008,7.1
Teeth,"$2,300,000 ","$348,000 ",2008,-1
Tim Burton's The Nightmare Before Christmas in 3-D (2008 re-issue),"$2,300,000 ","$1,100,000 ",2008,-1
"Romulus, My Father","$2,200,000 ","$4,300 ",2008,-1
Ugly Me,"$2,200,000 ","$53,300 ",2008,-1
Mad Detective,"$2,200,000 ","$4,600 ",2008,-1
The Black Balloon,"$2,100,000 ", $-   ,2008,7.3
Roadside Romeo,"$2,000,000 ","$55,200 ",2008,5.2
"Oye Lucky, Lucky Oye","$2,000,000 ","$80,000 ",2008,5.2
Ashes of Time Redux,"$1,900,000 ","$174,000 ",2008,5.2
To the Limit,"$1,900,000 ","$18,300 ",2008,5.2
Henry Poole Is Here,"$1,900,000 ","$1,800,000 ",2008,6.4
Sixty Six,"$1,900,000 ","$225,000 ",2008,6.4
Smother,"$1,900,000 ", $-   ,2008,6
The Last Mistress,"$1,800,000 ","$786,000 ",2008,6
Che,"$1,800,000 ","$1,500,000 ",2008,6
A Thousand Years of Good Prayers,"$1,700,000 ","$76,800 ",2008,6
Talento de Barrio,"$1,700,000 ","$68,500 ",2008,6
The Hottie & the Nottie,"$1,600,000 ","$27,700 ",2008,1.9
La Riviere aux Castors,"$1,600,000 ","$361,000 ",2008,1.9
Bra Boys,"$1,600,000 ","$155,000 ",2008,1.9
Good,"$1,500,000 ","$27,300 ",2008,6.2
Gonzo,"$1,500,000 ","$1,300,000 ",2008,6.2
Beauty in Trouble,"$1,500,000 ","$19,300 ",2008,6.2
Ek Vivah Aisa Bhi,"$1,500,000 ","$6,400 ",2008,6.2
Savage Grace,"$1,400,000 ","$436,000 ",2008,6.2
Lost in Beijing,"$1,400,000 ","$11,200 ",2008,6.2
Bonneville,"$1,300,000 ","$488,000 ",2008,6.2
Before the Rains,"$1,300,000 ","$1,000,000 ",2008,6.2
Reprise,"$1,300,000 ","$555,000 ",2008,6.2
"War, Inc.","$1,300,000 ","$581,000 ",2008,5.6
In Search of a Midnight Kiss,"$1,300,000 ","$173,000 ",2008,5.6
Sex and Death 101,"$1,200,000 ","$23,600 ",2008,5.6
Encounters at the End of the World,"$1,200,000 ","$945,000 ",2008,5.6
Mumbai Meri Jaan,"$1,200,000 ","$16,400 ",2008,7.8
Boy A,"$1,200,000 ","$114,000 ",2008,7.8
Wendy and Lucy,"$1,200,000 ","$866,000 ",2008,7.1
Vexille,"$1,200,000 ","$3,300 ",2008,7.1
American Teen,"$1,100,000 ","$942,000 ",2008,6.4
Fraude,"$1,100,000 ","$3,600 ",2008,6.7
Flashbacks of a Fool,"$1,100,000 ","$1,700 ",2008,6.8
The Flight of the Red Balloon,"$1,100,000 ","$462,000 ",2008,6.8
Up the Yangtze,"$1,000,000 ","$784,000 ",2008,6.8
Yella,"$1,000,000 ","$30,600 ",2008,6.8
The Duchess of Langeais,"$983,000 ","$283,000 ",2008,6.8
Eight Miles High,"$958,000 ","$2,600 ",2008,6.8
Jellyfish,"$910,000 ","$341,000 ",2008,7
Battle in Seattle,"$909,000 ","$224,000 ",2008,7
Go Go Tales,"$907,000 ", $-   ,2008,7
Fugitive Pieces,"$844,000 ","$636,000 ",2008,7
I.O.U.S.A.,"$827,000 ","$821,000 ",2008,7.5
Blonde and Blonder,"$779,000 ","$42,200 ",2008,7.5
How About You,"$754,000 ","$78,200 ",2008,7.5
Woman on the Beach,"$749,000 ","$23,700 ",2008,7.5
$9.99 ,"$708,000 ","$52,400 ",2008,7.5
Christmas in Wonderland,"$695,000 ",$700 ,2008,7.5
Heartbeat Detector,"$693,000 ","$5,300 ",2008,7.5
Never Forever,"$687,000 ","$14,500 ",2008,7.5
Towelhead,"$676,000 ","$372,000 ",2008,7.5
Anamorph,"$675,000 ","$7,000 ",2008,7.5
My Mexican Shivah,"$667,000 ","$13,000 ",2008,7.5
Where in the World Is Osama Bin Laden?,"$652,000 ","$385,000 ",2008,6.5
A Bloody Aria,"$588,000 ",$500 ,2008,6.5
My Father My Lord,"$572,000 ","$204,000 ",2008,6.5
Sangre de Mi Sangre,"$565,000 ","$55,700 ",2008,6.5
Timecrimes (Los Cronocrimenes),"$553,000 ","$39,100 ",2008,6.5
Water Lilies,"$549,000 ","$85,400 ",2008,6.5
Nobel Son,"$546,000 ","$540,000 ",2008,6.5
Boarding Gate,"$545,000 ","$49,300 ",2008,6.5
Everybody Wants to Be Italian,"$533,000 ","$351,000 ",2008,6.5
Trouble the Water,"$523,000 ","$520,000 ",2008,7.4
The Other End of the Line,"$508,000 ","$116,000 ",2008,6.2
Splinter (2008),"$479,000 ","$14,200 ",2008,6.2
The Stone Angel,"$474,000 ","$459,000 ",2008,6.2
Alexandra,"$454,000 ","$128,000 ",2008,6.2
Fear(s) of the Dark,"$451,000 ","$77,900 ",2008,6.2
London to Brighton,"$450,000 ","$6,700 ",2008,6.2
The Promotion,"$424,000 ","$409,000 ",2008,5.6
Snow Angels,"$414,000 ","$403,000 ",2008,5.6
The Signal,"$401,000 ","$251,000 ",2008,5.6
Mister Lonely,"$394,000 ","$167,000 ",2008,5.6
While She Was Out,"$391,000 ", $-   ,2008,4.8
Hell Ride,"$390,000 ","$214,000 ",2008,5.1
Times and Winds,"$387,000 ","$6,200 ",2008,5.1
Tout est Parfait,"$373,000 ","$337,000 ",2008,5.1
Blindsight,"$366,000 ","$89,200 ",2008,5.1
Filth and Wisdom,"$355,000 ","$22,400 ",2008,5.6
Bab'Aziz - The Prince Who Contemplated His Soul,"$353,000 ","$89,700 ",2008,5.6
Meet Bill,"$347,000 ","$62,600 ",2008,5.6
Standard Operating Procedure,"$324,000 ","$229,000 ",2008,7.4
No Regret,"$305,000 ","$15,300 ",2008,7.4
Planet B-Boy,"$300,000 ","$274,000 ",2008,7.4
Taxi to the Dark Side,"$294,000 ","$275,000 ",2008,7.4
Surfwise,"$294,000 ","$270,000 ",2008,7.4
The Lucky Ones,"$288,000 ","$267,000 ",2008,6.9
Chaos Theory,"$286,000 ","$240,000 ",2008,6.7
My Winnipeg,"$285,000 ","$159,000 ",2008,6.7
Lola Montes (re-issue),"$280,000 ","$120,000 ",2008,6.7
Wonderful Town,"$277,000 ","$4,500 ",2008,6.7
Morning Light,"$276,000 ","$275,000 ",2008,5.8
Beaufort,"$256,000 ","$103,000 ",2008,5.8
Battle for Haditha,"$246,000 ","$10,300 ",2008,5.8
The Foot Fist Way,"$245,000 ","$234,000 ",2008,5.8
CSNY: Deja Vu,"$232,000 ","$65,000 ",2008,5.8
Miss Conception,"$229,000 ","$2,100 ",2008,4.6
Chop Shop,"$221,000 ","$125,000 ",2008,4.6
The Secrets,"$206,000 ","$122,000 ",2008,4.6
Sleepwalking,"$205,000 ","$166,000 ",2008,6.1
Alice's House (A Casa de Alice),"$194,000 ","$61,800 ",2008,6.1
Stranded: I Have Come from a Plane That Crashed on the Mountains,"$193,000 ","$89,500 ",2008,6.1
Repo: The Genetic Opera,"$188,000 ","$147,000 ",2008,6.1
Bustin' Down the Door,"$188,000 ","$109,000 ",2008,7
Chapter 27,"$187,000 ","$56,200 ",2008,7
Mera Pind,"$177,000 ","$177,000 ",2008,7
Stuck,"$151,000 ","$67,500 ",2008,7
Postal,"$147,000 ", $-   ,2008,7
Summer Palace,"$143,000 ","$63,000 ",2008,7
Love Comes Lately,"$128,000 ","$78,100 ",2008,7
Were the World Mine,"$124,000 ","$124,000 ",2008,6.9
Momma's Man,"$123,000 ","$100,000 ",2008,6
Before I Forget,"$121,000 ","$27,600 ",2008,6
Lou Reed's Berlin,"$115,000 ","$33,200 ",2008,6
The Alphabet Killer,"$107,000 ","$29,800 ",2008,5.2
Roman Polanski: Wanted and Desired,"$100,000 ","$59,200 ",2008,7.2
Kabluey,"$96,700 ","$83,500 ",2008,7.2
"Louise Bourgeois: The Spider, The Mistress and the Tangerine","$96,400 ","$95,900 ",2008,7.2
Patti Smith: Dream of Life,"$81,100 ","$30,900 ",2008,7.2
Ballast,"$79,700 ","$77,600 ",2008,6.9
Deal,"$78,700 ","$61,600 ",2008,5.4
Finding Amanda,"$77,400 ","$57,300 ",2008,5.5
A Four Letter Word,"$73,400 ","$72,600 ",2008,5.5
Dark Matter,"$66,400 ","$30,600 ",2008,5.5
Expired,"$65,000 ","$29,800 ",2008,-1
Beautiful Losers,"$64,100 ","$56,400 ",2008,7.1
Vivere,"$61,700 ","$3,600 ",2008,-1
The Elephant King,"$61,100 ","$22,300 ",2008,7.1
Extreme Movie,"$54,800 ", $-   ,2008,3.7
The Killing of John Lennon,"$53,100 ","$7,000 ",2008,3.7
"Surfer, Dude","$52,100 ","$52,100 ",2008,4.7
Gunnin' for That #1 Spot,"$51,000 ","$50,800 ",2008,6.4
What Doesn't Kill You,"$44,900 ", $-   ,2008,6.6
The Tracey Fragments,"$42,300 ","$32,600 ",2008,6.6
I Can't Think Straight,"$40,900 ","$39,600 ",2008,6.5
Good Dick,"$39,900 ","$27,600 ",2008,6.4
Back to Normandy,"$37,400 ",$500 ,2008,6.4
Blind Mountain,"$36,600 ","$13,200 ",2008,6.4
"Moscow, Belgium","$34,700 ", $-   ,2008,7.2
Glass: A Portrait of Philip in Twelve Parts,"$32,100 ","$20,000 ",2008,7.2
Poisoned by Polonium: The Litvinenko File,"$29,500 ","$5,100 ",2008,7.2
La Leon,"$27,300 ","$1,700 ",2008,7.2
Diminished Capacity,"$23,700 ","$21,700 ",2008,5.6
The World Unseen,"$23,100 ","$17,800 ",2008,5.6
Poultrygeist: Night of the Chicken Dead,"$22,600 ","$13,800 ",2008,5.6
Antarctica,"$21,700 ","$21,700 ",2008,6
Noise,"$16,900 ","$16,500 ",2008,6.3
Young People Fucking,"$14,500 ","$9,400 ",2008,6.3
Red (2008),"$10,700 ","$4,600 ",2008,6.3
The Amazing Truth About Queen Raquela,"$7,300 ","$5,600 ",2008,5.9
Heavy Metal in Baghdad,"$6,200 ","$4,100 ",2008,5.9
On the Rumba River,"$6,000 ","$1,700 ",2008,5.9
How to Rob a Bank,"$1,000 ","$1,000 ",2008,5.9
Obscene, $-   , $-   ,2008,5.9
Avatar,"$2,778,900,000 ","$749,800,000 ",2009,7.8
Harry Potter and the Half-Blood Prince,"$934,400,000 ","$302,000,000 ",2009,7.6
Ice Age: Dawn of the Dinosaurs,"$888,800,000 ","$196,600,000 ",2009,6.9
Transformers: Revenge of the Fallen,"$836,300,000 ","$402,100,000 ",2009,6
2012,"$769,700,000 ","$166,100,000 ",2009,4.9
Up,"$735,100,000 ","$293,000,000 ",2009,8.2
The Twilight Saga: New Moon,"$709,700,000 ","$296,600,000 ",2009,4.7
Sherlock Holmes,"$524,000,000 ","$209,000,000 ",2009,7.6
Angels & Demons,"$485,900,000 ","$133,400,000 ",2009,6.7
The Hangover,"$467,500,000 ","$277,300,000 ",2009,7.7
Alvin and the Chipmunks: The Squeakquel,"$443,100,000 ","$219,600,000 ",2009,4.5
Night at the Museum: Battle of the Smithsonian,"$413,100,000 ","$177,200,000 ",2009,6
Star Trek,"$385,700,000 ","$257,700,000 ",2009,7.9
Monsters Vs. Aliens,"$381,500,000 ","$198,400,000 ",2009,7.9
X-Men Origins: Wolverine,"$373,100,000 ","$179,900,000 ",2009,6.6
Terminator Salvation,"$371,400,000 ","$125,300,000 ",2009,6.5
Fast and Furious,"$363,200,000 ","$155,100,000 ",2009,6.5
A Christmas Carol (2009),"$325,300,000 ","$137,900,000 ",2009,6.5
Inglourious Basterds,"$321,500,000 ","$120,500,000 ",2009,8.3
The Proposal,"$317,400,000 ","$164,000,000 ",2009,7.7
The Blind Side,"$309,200,000 ","$256,000,000 ",2009,7.6
G.I. Joe: The Rise of Cobra,"$302,500,000 ","$150,200,000 ",2009,5.8
G-Force,"$292,800,000 ","$119,400,000 ",2009,5.1
The Princess and the Frog,"$267,000,000 ","$104,400,000 ",2009,7.1
Michael Jackson's This Is It,"$261,200,000 ","$72,100,000 ",2009,7.1
Cloudy with a Chance of Meatballs,"$243,000,000 ","$124,900,000 ",2009,6.9
Taken,"$226,800,000 ","$145,000,000 ",2009,6.9
It's Complicated,"$219,100,000 ","$112,700,000 ",2009,6.5
Public Enemies,"$214,100,000 ","$97,100,000 ",2009,7
District 9,"$210,800,000 ","$115,600,000 ",2009,7.9
The Ugly Truth,"$205,300,000 ","$88,900,000 ",2009,6.4
Ponyo,"$201,800,000 ","$15,100,000 ",2009,6.4
Paranormal Activity,"$193,400,000 ","$107,900,000 ",2009,6.4
The Final Destination,"$186,200,000 ","$66,500,000 ",2009,5.2
Watchmen,"$185,300,000 ","$107,500,000 ",2009,7.6
Knowing,"$183,600,000 ","$80,000,000 ",2009,6.2
Paul Blart: Mall Cop,"$183,300,000 ","$146,300,000 ",2009,5.2
He's Just Not That Into You,"$178,800,000 ","$94,000,000 ",2009,6.4
Couples Retreat,"$171,800,000 ","$109,200,000 ",2009,5.5
Up in the Air,"$166,800,000 ","$83,800,000 ",2009,7.2
Hannah Montana The Movie,"$155,500,000 ","$79,600,000 ",2009,7.2
The Taking of Pelham 1 2 3,"$150,200,000 ","$65,500,000 ",2009,7.2
Bruno,"$138,800,000 ","$60,100,000 ",2009,7.2
17 Again,"$136,300,000 ","$64,200,000 ",2009,6.3
Julie & Julia,"$129,500,000 ","$94,100,000 ",2009,7
Law Abiding Citizen,"$126,700,000 ","$73,400,000 ",2009,7.4
Coraline,"$124,600,000 ","$75,300,000 ",2009,7.7
Surrogates,"$122,400,000 ","$38,600,000 ",2009,6.3
Invictus,"$122,200,000 ","$37,500,000 ",2009,7.3
Hotel for Dogs,"$117,000,000 ","$73,000,000 ",2009,5.4
Bride Wars,"$114,700,000 ","$58,700,000 ",2009,5.5
Earth (2009),"$109,000,000 ","$32,000,000 ",2009,5.5
Confessions of a Shopaholic,"$108,300,000 ","$44,300,000 ",2009,5.9
Race to Witch Mountain,"$106,400,000 ","$67,200,000 ",2009,5.7
Planet 51,"$105,600,000 ","$42,200,000 ",2009,6
Zombieland,"$102,400,000 ","$75,600,000 ",2009,7.6
Ghosts of Girlfriends Past,"$102,200,000 ","$55,300,000 ",2009,5.8
The Time Traveler's Wife,"$101,300,000 ","$63,400,000 ",2009,7.1
My Bloody Valentine 3-D,"$100,700,000 ","$51,500,000 ",2009,7.1
Where the Wild Things Are,"$100,100,000 ","$77,200,000 ",2009,6.7
Old Dogs,"$96,800,000 ","$49,500,000 ",2009,6.4
My Sister's Keeper,"$95,700,000 ","$49,200,000 ",2009,7.4
The Lovely Bones,"$93,600,000 ","$44,100,000 ",2009,6.7
"I Love You, Man","$91,600,000 ","$71,400,000 ",2009,7
Friday the 13th (2009),"$91,400,000 ","$65,000,000 ",2009,7
Underworld: Rise of the Lycans,"$91,400,000 ","$45,800,000 ",2009,6.6
Drag Me to Hell,"$90,800,000 ","$42,100,000 ",2009,6.5
Tyler Perry's Madea Goes to Jail,"$90,500,000 ","$90,500,000 ",2009,6.5
State of Play,"$87,800,000 ","$37,000,000 ",2009,7.1
Did You Hear About the Morgans?,"$85,300,000 ","$29,600,000 ",2009,4.8
Duplicity,"$78,100,000 ","$40,600,000 ",2009,6.1
The Haunting in Connecticut,"$77,500,000 ","$55,400,000 ",2009,5.9
Fame (2009),"$77,200,000 ","$22,500,000 ",2009,5.9
Orphan,"$76,700,000 ","$41,600,000 ",2009,6.9
The Unborn (2009),"$76,500,000 ","$42,700,000 ",2009,6.9
The Pink Panther 2,"$75,900,000 ","$35,900,000 ",2009,5.6
Obsessed,"$73,800,000 ","$68,300,000 ",2009,4.9
Funny People,"$71,600,000 ","$51,900,000 ",2009,6.3
Departures,"$69,900,000 ","$1,500,000 ",2009,6.3
The Men Who Stare at Goats,"$69,000,000 ","$32,400,000 ",2009,6.2
Land of the Lost,"$68,800,000 ","$49,400,000 ",2009,5.3
Saw VI,"$68,200,000 ","$27,700,000 ",2009,6
"Precious: Based on the Novel ""Push"" by Sapphire","$63,600,000 ","$47,600,000 ",2009,6
Inkheart,"$62,500,000 ","$17,300,000 ",2009,6
Year One,"$62,400,000 ","$43,300,000 ",2009,4.9
The Imaginarium of Doctor Parnassus,"$61,800,000 ","$7,700,000 ",2009,6.8
Ninja Assassin,"$61,600,000 ","$38,100,000 ",2009,6.3
(500) Days of Summer,"$60,700,000 ","$32,400,000 ",2009,6.3
The International,"$60,200,000 ","$25,500,000 ",2009,3.9
Aliens in the Attic,"$57,900,000 ","$25,200,000 ",2009,5.4
Dragonball Evolution,"$57,500,000 ","$9,400,000 ",2009,2.5
Under the Sea 3D,"$55,800,000 ","$36,200,000 ",2009,7.5
Nine,"$54,000,000 ","$19,700,000 ",2009,5.8
Tyler Perry's I Can Do Bad All By Myself,"$51,700,000 ","$51,700,000 ",2009,5.8
Coco Before Chanel,"$50,800,000 ","$6,100,000 ",2009,6.7
The Hurt Locker,"$49,200,000 ","$17,000,000 ",2009,6.7
Push,"$48,900,000 ","$31,800,000 ",2009,6.1
9,"$48,400,000 ","$31,700,000 ",2009,7.1
The Fourth Kind,"$47,700,000 ","$25,500,000 ",2009,5.9
Crazy Heart,"$47,400,000 ","$39,500,000 ",2009,7.2
Fantastic Mr. Fox,"$46,500,000 ","$21,000,000 ",2009,7.8
The Last House on the Left (2009),"$45,300,000 ","$32,800,000 ",2009,7.8
Notorious (2009),"$44,400,000 ","$36,800,000 ",2009,7.8
Brothers,"$43,300,000 ","$28,500,000 ",2009,7.1
The Informant!,"$41,800,000 ","$33,300,000 ",2009,6.4
The Uninvited,"$41,600,000 ","$28,600,000 ",2009,6.3
Gamer,"$40,800,000 ","$20,500,000 ",2009,5.8
All About Steve,"$40,100,000 ","$33,900,000 ",2009,4.8
Astro Boy,"$39,900,000 ","$19,600,000 ",2009,6.3
Halloween II (2009),"$39,400,000 ","$33,400,000 ",2009,6.3
Cirque du Freak: The Vampire's Assistant,"$39,200,000 ","$13,900,000 ",2009,5.9
The Soloist,"$38,300,000 ","$31,700,000 ",2009,6.7
Pirate Radio,"$36,300,000 ","$8,000,000 ",2009,7.4
Love Happens,"$36,100,000 ","$23,000,000 ",2009,5.6
Whatever Works,"$35,100,000 ","$5,300,000 ",2009,7.1
Crank: High Voltage,"$34,600,000 ","$13,700,000 ",2009,6.2
The Box,"$33,300,000 ","$15,100,000 ",2009,5.5
Fighting,"$32,500,000 ","$23,100,000 ",2009,5.6
The Invention of Lying,"$32,400,000 ","$18,500,000 ",2009,6.3
Toy Story / Toy Story 2 (3D),"$32,300,000 ","$30,700,000 ",2009,6.3
Jennifer's Body,"$31,600,000 ","$16,200,000 ",2009,5.2
Dance Flick,"$31,400,000 ","$25,700,000 ",2009,3.5
A Serious Man,"$31,400,000 ","$9,200,000 ",2009,7
The Stepfather (2009),"$31,200,000 ","$29,100,000 ",2009,7
Broken Embraces,"$31,000,000 ","$5,000,000 ",2009,7.2
New in Town,"$29,000,000 ","$16,700,000 ",2009,5.6
Shorts,"$29,000,000 ","$20,900,000 ",2009,4.7
The Road,"$27,600,000 ","$8,100,000 ",2009,7.2
The Young Victoria,"$27,400,000 ","$11,000,000 ",2009,7.3
Sorority Row,"$27,200,000 ","$12,000,000 ",2009,5.1
Observe and Report,"$27,000,000 ","$24,000,000 ",2009,5.8
An Education,"$26,100,000 ","$12,600,000 ",2009,7.3
A Single Man,"$25,000,000 ","$9,200,000 ",2009,7.6
Paris,"$23,300,000 ","$1,000,000 ",2009,7.6
Jonas Brothers: The 3D Concert Experience,"$23,200,000 ","$19,200,000 ",2009,1.5
Imagine That,"$23,000,000 ","$16,100,000 ",2009,5.6
Armored,"$22,900,000 ","$16,000,000 ",2009,5.7
A Perfect Getaway,"$22,900,000 ","$15,500,000 ",2009,6.5
Love Aaj Kal,"$20,800,000 ","$2,400,000 ",2009,6.8
Pandorum,"$20,600,000 ","$10,300,000 ",2009,6.7
My Life in Ruins,"$20,500,000 ","$8,700,000 ",2009,5.9
Amelia,"$19,600,000 ","$14,200,000 ",2009,5.8
The White Ribbon,"$19,300,000 ","$2,200,000 ",2009,7.8
Fired Up,"$18,600,000 ","$17,200,000 ",2009,7.8
Easy Virtue,"$18,500,000 ","$2,700,000 ",2009,7.8
Whiteout,"$17,800,000 ","$10,300,000 ",2009,5.5
Capitalism: A Love Story,"$17,400,000 ","$14,400,000 ",2009,7.4
12 Rounds,"$17,300,000 ","$12,200,000 ",2009,5.6
Adventureland,"$17,200,000 ","$16,000,000 ",2009,6.8
Whip It,"$16,600,000 ","$13,000,000 ",2009,6.9
Sunshine Cleaning,"$16,600,000 ","$12,100,000 ",2009,6.9
Everybody's Fine,"$16,400,000 ","$9,200,000 ",2009,7.1
Two Lovers,"$16,300,000 ","$3,100,000 ",2009,7.1
I Love You Beth Cooper,"$15,800,000 ","$14,800,000 ",2009,7.1
"The Goods: Live Hard, Sell Hard","$15,300,000 ","$15,100,000 ",2009,5.8
Away We Go,"$14,900,000 ","$9,500,000 ",2009,7
Katyn,"$14,700,000 ","$118,000 ",2009,7
Bright Star,"$14,400,000 ","$4,400,000 ",2009,6.9
Chandni Chowk to China,"$13,400,000 ","$922,000 ",2009,4
Delhi 6,"$13,100,000 ","$880,000 ",2009,4
Thirst,"$13,000,000 ","$319,000 ",2009,7.1
Cherry Blossoms,"$12,900,000 ","$104,000 ",2009,7.1
Paris 36,"$12,800,000 ","$852,000 ",2009,7.1
Street Fighter: The Legend of Chun-Li,"$12,800,000 ","$8,700,000 ",2009,3.7
Bandslam,"$12,200,000 ","$5,200,000 ",2009,6.3
Spread,"$12,000,000 ","$251,000 ",2009,5.9
Quiet Chaos,"$11,300,000 ","$11,400 ",2009,5.9
Il Divo,"$11,300,000 ","$240,000 ",2009,5.9
Rudo Y Cursi,"$11,200,000 ","$1,800,000 ",2009,5.9
Extract,"$10,800,000 ","$10,800,000 ",2009,6.1
3 Idiots,"$10,700,000 ","$6,500,000 ",2009,8.4
Not Easily Broken,"$10,700,000 ","$10,600,000 ",2009,6.1
The Boondock Saints II: All Saints Day,"$10,600,000 ","$10,300,000 ",2009,6.3
Bad Lieutenant: Port of Call New Orleans,"$10,600,000 ","$1,700,000 ",2009,6.6
Flame & Citron,"$10,200,000 ","$148,000 ",2009,6.6
Next Day Air,"$10,200,000 ","$10,000,000 ",2009,5.8
Taking Woodstock,"$10,000,000 ","$7,500,000 ",2009,6.7
Big Man Japan,"$9,800,000 ","$40,800 ",2009,6.7
Moon,"$9,800,000 ","$5,000,000 ",2009,7.9
The Collector,"$9,400,000 ","$7,700,000 ",2009,6.4
Cheri,"$9,400,000 ","$2,700,000 ",2009,6.4
Seraphine,"$9,100,000 ","$885,000 ",2009,6.4
Ong Bak 2: The Beginning,"$8,900,000 ","$102,000 ",2009,6.4
"New York, I Love You","$8,100,000 ","$1,600,000 ",2009,6.4
Billu,"$8,000,000 ","$755,000 ",2009,6.1
In the Loop,"$7,800,000 ","$2,400,000 ",2009,7.4
My Fuhrer,"$7,700,000 ","$2,500 ",2009,7.4
Summer Hours,"$7,700,000 ","$1,700,000 ",2009,7.4
Girl from Monaco,"$7,600,000 ","$603,000 ",2009,7.4
12,"$7,500,000 ","$125,000 ",2009,7.4
Lemon Tree,"$7,400,000 ","$570,000 ",2009,7.4
Outlander,"$7,000,000 ","$166,000 ",2009,7.4
The September Issue,"$6,400,000 ","$3,800,000 ",2009,7
Post Grad,"$6,400,000 ","$6,400,000 ",2009,5.3
