Title,Total Earnings,Foriegn Earnings,Year,IMDB
Stargate,"$196,600,000 ","$71,600,000 ",1994,7.1
The Santa Clause,"$189,800,000 ","$144,800,000 ",1994,6.4
Maverick,"$183,000,000 ","$101,600,000 ",1994,7
The Specialist,"$170,400,000 ","$57,400,000 ",1994,5.6
Legends of the Fall,"$160,600,000 ","$66,600,000 ",1994,7.5
Wolf,"$131,000,000 ","$65,000,000 ",1994,6.2
Beverly Hills Cop III,"$119,200,000 ","$42,600,000 ",1994,5.6
Star Trek: Generations,"$118,100,000 ","$75,700,000 ",1994,5.6
The Client,"$117,600,000 ","$92,100,000 ",1994,6.7
Mary Shelley's Frankenstein,"$112,000,000 ","$22,000,000 ",1994,6.4
Junior,"$108,400,000 ","$36,800,000 ",1994,4.6
Ace Ventura: Pet Detective,"$107,200,000 ","$72,200,000 ",1994,6.9
Nell,"$106,700,000 ","$33,700,000 ",1994,6.5
Timecop,"$101,600,000 ","$44,900,000 ",1994,5.9
Street Fighter,"$99,400,000 ","$33,400,000 ",1994,3.9
The River Wild,"$94,200,000 ","$46,800,000 ",1994,6.4
The Little Rascals,"$67,300,000 ","$52,100,000 ",1994,6.3
The Paper,"$48,400,000 ","$38,800,000 ",1994,6.6
The Shadow,"$48,100,000 ","$32,100,000 ",1994,6.1
Miracle on 34th Street (1994),"$46,300,000 ","$17,300,000 ",1994,6.1
Reality Bites,"$33,400,000 ","$21,000,000 ",1994,6.6
The Getaway (1994),"$30,100,000 ","$16,100,000 ",1994,6.6
Wes Craven's New Nightmare,"$19,700,000 ","$18,100,000 ",1994,6.4
The Next Karate Kid,"$15,800,000 ","$8,900,000 ",1994,4.4
Hoop Dreams,"$11,800,000 ","$7,800,000 ",1994,8.3
Lassie,"$10,000,000 ","$10,000,000 ",1994,5.9
Raining Stones,"$89,400 ","$89,400 ",1994,5.9
Toy Story,"$373,600,000 ","$191,800,000 ",1995,8.3
Die Hard: With A Vengeance,"$366,100,000 ","$100,000,000 ",1995,8.3
Apollo 13,"$353,500,000 ","$172,100,000 ",1995,7.8
GoldenEye,"$352,200,000 ","$106,400,000 ",1995,7.2
Pocahontas,"$346,100,000 ","$141,600,000 ",1995,2.3
Batman Forever,"$336,500,000 ","$184,000,000 ",1995,5.4
Seven,"$327,300,000 ","$100,100,000 ",1995,5.4
Casper,"$287,900,000 ","$100,300,000 ",1995,6.1
Waterworld,"$264,200,000 ","$88,200,000 ",1995,6.2
Jumanji,"$262,800,000 ","$100,500,000 ",1995,7
Babe,"$254,100,000 ","$63,700,000 ",1995,6.7
Braveheart,"$213,200,000 ","$75,600,000 ",1995,8.3
Ace Ventura: When Nature Calls,"$212,400,000 ","$108,400,000 ",1995,6.4
Outbreak,"$189,900,000 ","$67,700,000 ",1995,6.6
Heat,"$187,400,000 ","$67,400,000 ",1995,8.2
While You Were Sleeping,"$182,100,000 ","$81,100,000 ",1995,6.7
The Bridges of Madison County,"$182,000,000 ","$71,500,000 ",1995,7.6
Dangerous Minds,"$179,500,000 ","$84,900,000 ",1995,6.5
12 Monkeys,"$168,800,000 ","$57,100,000 ",1995,6.5
Crimson Tide,"$157,400,000 ","$91,400,000 ",1995,7.3
Congo,"$152,000,000 ","$81,000,000 ",1995,5.2
Bad Boys,"$141,400,000 ","$65,800,000 ",1995,6.9
Nine Months,"$138,500,000 ","$69,700,000 ",1995,5.5
Sense and Sensibility,"$134,600,000 ","$43,200,000 ",1995,7.6
First Knight,"$127,600,000 ","$37,600,000 ",1995,5.9
