Title,Earnings,Opening Weekend,Opening Date,Close Date
My Bloody Valentine (1981),"5,672,031",N/A,2/11/1981,NA
Going Ape!,"5,504,218",N/A,4/10/1981,NA
The Dogs of War,"5,484,132",N/A,2/13/1981,NA
Student Bodies,"5,165,432","1,582,148",8/7/1981,NA
The Watcher in the Woods,"5,000,000",N/A,10/7/1981,NA
All Night Long,"4,454,295","1,392,852",3/6/1981,NA
The Pursuit of D.B. Cooper,"3,702,028","1,214,767",11/13/1981,NA
Zoot Suit,"3,256,082","63,356",10/2/1981,NA
The Fan (1981),"3,082,096",N/A,5/15/1981,NA
The Last Metro,"3,007,436",N/A,2/13/1981,NA
Gas,"2,869,425",N/A,7/23/1981,NA
Modern Romance,"2,863,642","18,225",3/13/1981,NA
The Hand,"2,447,576","566,736",4/24/1981,NA
Heartbeeps,"2,154,696","407,464",12/18/1981,NA
This Is Elvis,"2,028,612","429,146",4/10/1981,NA
Sphinx,"2,022,771","439,564",2/13/1981,NA
Honky Tonk Freeway,"2,004,742","939,423",8/21/1981,NA
Raggedy Man,"1,976,198","287,081",9/18/1981,NA
King of the Mountain,"1,791,147","958,637",5/1/1981,NA
Cutter's Way,"1,729,274",N/A,3/20/1981,NA
Silence of the North,"1,622,898","344,837",10/23/1981,NA
From Mao to Mozart,"1,205,934",N/A,4/10/1981,NA
Night School,"1,169,875",N/A,9/11/1981,NA
Eyes of a Stranger,"1,118,634","546,724",3/27/1981,NA
Herbie Goes Bananas (Re-issue),"1,000,000",N/A,6/12/1981,NA
Herbie Goes to Monte Carlo (Re-issue),"1,000,000",N/A,6/12/1981,NA
Sunday Lovers,"621,931",N/A,2/13/1981,NA
Beyond the Reef,"547,525",N/A,4/24/1981,NA
Cattle Annie and Little Britches,"534,816","115,679",4/24/1981,NA
Hard Country,"534,653",N/A,5/1/1981,NA
Man of Iron,"492,035",N/A,11/20/1981,NA
Kelly,"469,777",N/A,3/20/1981,NA
Freaky Friday (Re-issue),"300,000",N/A,6/12/1981,NA
Sea Wolves,"220,181",N/A,6/5/1981,NA
Second Hand Hearts,"19,450",N/A,4/24/1981,NA
Glen or Glenda,"10,158",N/A,5/22/1981,NA
E.T.: The Extra-Terrestrial,"359,197,037","11,835,389",6/11/1982,NA
Tootsie,"177,200,000","5,540,470",12/17/1982,NA
An Officer and a Gentleman,"129,795,554","3,304,679",7/30/1982,NA
Rocky III,"124,146,897","12,431,486",5/28/1982,NA
Porky's,"105,492,483","7,623,988",3/19/1982,NA
Star Trek II: The Wrath of Khan,"78,912,963","14,347,221",6/4/1982,NA
48 HRS.,"78,868,508","4,369,868",12/10/1982,NA
Poltergeist,"76,606,280","6,896,612",6/4/1982,NA
The Best Little Whorehouse in Texas,"69,701,637","11,874,268",7/23/1982,NA
Annie,"57,059,003","510,632",5/21/1982,NA
The Verdict,"53,977,250","100,982",12/10/1982,NA
Gandhi,"52,767,889","131,153",12/10/1982,NA
First Blood,"47,212,904","6,642,005",10/22/1982,NA
The Toy,"47,118,057","6,322,804",12/10/1982,NA
Firefox,"46,708,276","8,152,948",6/18/1982,NA
The Dark Crystal,"40,577,001","4,657,335",12/17/1982,NA
Conan the Barbarian,"39,565,475","9,603,139",5/14/1982,NA
The Sword and the Sorcerer,"39,103,425","1,798,879",4/23/1982,NA
Best Friends,"36,821,203","4,022,891",12/17/1982,NA
Richard Pryor: Live on the Sunset Strip,"36,299,720","7,780,693",3/12/1982,NA
Friday the 13th Part III,"34,581,519","9,406,522",8/13/1982,NA
Tron,"33,000,000","4,761,795",7/9/1982,NA
Young Doctors in Love,"30,688,860","4,206,265",7/16/1982,NA
Sophie's Choice,"30,036,000","202,131",12/10/1982,NA
The World According to Garp,"29,712,172","2,902,088",7/23/1982,NA
Victor/Victoria,"28,215,453","139,634",3/19/1982,NA
Blade Runner,"27,580,111","6,150,002",6/25/1982,NA
Airplane II: The Sequel,"27,150,534","5,329,208",12/10/1982,NA
Fast Times at Ridgemont High,"27,092,880","2,545,674",8/13/1982,NA
Some Kind of Hero,"23,671,186","5,631,293",4/2/1982,NA
The Road Warrior,"23,667,907","2,527,864",5/21/1982,NA
Bambi (Re-issue) (1982),"23,000,000",N/A,6/4/1982,NA
Pink Floyd: The Wall,"22,244,207","2,712,095",8/13/1982,NA
Raiders of the Lost Ark (Re-issue) (1982),"21,437,879","4,347,101",7/16/1982,NA
Things Are Tough All Over,"21,134,374","5,906,708",8/6/1982,NA
Night Shift,"21,095,638","2,539,633",7/30/1982,NA
Creepshow,"21,028,755","5,870,889",11/12/1982,NA
Quest for Fire,"20,959,585","2,171,303",2/12/1982,NA
The Man From Snowy River,"20,659,423","694,126",11/5/1982,NA
Six Pack,"20,225,989","1,946,418",7/16/1982,NA
My Favorite Year,"20,123,620","2,400,696",10/8/1982,NA
The Thing (1982),"19,629,760","3,107,897",6/25/1982,NA
Deathtrap,"19,282,134","2,238,977",3/19/1982,NA
Dead Men Don't Wear Plaid,"18,196,170","4,289,601",5/21/1982,NA
Peter Pan (Re-issue) (1982),"17,200,000","957,256",12/17/1982,NA
Zapped!,"16,897,768","823,548",7/23/1982,NA
They Call Me Bruce,"16,894,678","1,071,345",11/12/1982,NA
Death Wish II,"16,100,000","1,871,487",2/19/1982,NA
Kiss Me Goodbye,"15,782,759","1,345,672",12/24/1982,NA
Star Wars (Re-issue),"15,476,285","3,766,803",8/13/1982,NA
Grease 2,"15,171,476","4,645,411",6/11/1982,NA
The Secret of NIMH,"14,665,733","386,530",7/2/1982,NA
Halloween III: Season of the Witch,"14,400,000","6,333,259",10/22/1982,NA
Diner,"14,099,953","218,221",3/5/1982,NA
The Beastmaster,"14,056,528","2,955,641",8/20/1982,NA
Missing,"14,000,000","2,300,000",2/12/1982,NA
The Empire Strikes Back (Re-issue),"13,276,241","3,949,478",11/19/1982,NA
Visiting Hours,"13,258,670","5,250,157",5/28/1982,NA
Vice Squad,"13,253,583","1,717,205",1/22/1982,NA
Author! Author!,"13,111,101","2,279,260",6/18/1982,NA
Amityville II: The Possession,"12,534,817","4,104,277",9/24/1982,NA
Monsignor,"12,408,066","3,631,834",10/22/1982,NA
Making Love,"11,897,978","3,015,497",2/12/1982,NA
The Seduction,"11,378,339","1,503,543",1/22/1982,NA
Das Boot,"10,915,250","26,994",2/10/1982,NA
Silent Rage,"10,490,791","3,693,117",4/2/1982,NA
Savannah Smiles,"10,413,170",N/A,12/10/1982,NA
National Lampoon's Class Reunion,"10,054,150","3,086,525",10/29/1982,NA
Hanky Panky,"9,823,934","3,597,244",6/4/1982,NA
Shoot the Moon,"9,217,530","1,870,000",1/22/1982,NA
A Midsummer Night's Sex Comedy,"9,077,269","2,514,478",7/16/1982,NA
Trail of the Pink Panther,"9,056,073","1,341,695",12/17/1982,NA
If You Could See What I Hear,"8,693,512","2,408,000",4/23/1982,NA
Night Crossing,"8,000,000","1,547,912",2/5/1982,NA
The Pirate Movie,"7,983,086","2,528,133",8/6/1982,NA
The Beast Within,"7,742,572","1,250,000",2/12/1982,NA
Tex,"7,400,000",N/A,7/30/1982,NA
The Missionary,"7,241,180","1,864,852",11/5/1982,NA
Cat People,"7,000,000","1,617,636",4/2/1982,NA
I Ought to Be in Pictures,"6,968,359","2,170,397",3/26/1982,NA
The Amateur,"6,892,098","1,052,963",2/12/1982,NA
Six Weeks,"6,668,025","978,541",12/17/1982,NA
Forced Vengeance,"6,660,333","1,109,011",7/30/1982,NA
The Last Unicorn,"6,455,330","2,250,000",11/19/1982,NA
The Soldier,"6,328,816","2,025,614",8/13/1982,NA
The Border,"6,118,683","516,014",1/29/1982,NA
Evil Under the Sun,"6,110,000","1,690,774",3/5/1982,NA
Partners,"6,062,898","2,318,801",4/30/1982,NA
Still of the Night,"5,979,947",N/A,11/19/1982,NA
The Last American Virgin,"5,829,781","527,198",8/6/1982,NA
Megaforce,"5,675,599","2,350,021",6/25/1982,NA
Personal Best,"5,672,311","549,878",2/5/1982,NA
Paradise,"5,588,800","2,815,503",5/7/1982,NA
Cannery Row,"5,301,539","1,500,000",2/12/1982,NA
Venom,"5,229,643","1,672,747",1/29/1982,NA
Inchon,"5,200,986","2,326,112",9/17/1982,NA
Heidi's Song,"5,124,391","1,416,713",11/19/1982,NA
Tempest,"5,005,245","80,492",9/3/1982,NA
Summer Lovers,"4,968,000",N/A,7/16/1982,NA
Honky Tonk Man,"4,484,991","667,727",12/17/1982,NA
Jekyll and Hyde Together Again,"3,792,188","819,476",10/1/1982,NA
Wrong Is Right,"3,583,513","1,412,646",5/14/1982,NA
Fighting Back,"3,355,948","1,624,381",5/21/1982,NA
Penitentiary II,"3,178,542","662,896",4/2/1982,NA
The Challenge,"2,977,706","522,668",7/23/1982,NA
Homework,"2,914,328","1,366,535",8/27/1982,NA
Jinxed,"2,869,638","1,209,311",10/22/1982,NA
It Came From Hollywood,"2,573,342","1,095,003",10/29/1982,NA
A Stranger is Watching,"2,519,559",N/A,1/22/1982,NA
A Little Sex,"2,370,376","1,030,070",4/2/1982,NA
"Yes, Giorgio","2,279,543","518,786",9/24/1982,NA
Exposed,"1,818,910",N/A,-/1982,NA
Barbarosa,"1,736,123","285,312",2/19/1982,NA
"I, the Jury","1,515,578",N/A,1/9/1982,NA
Endangered Species,"1,474,249",N/A,9/10/1982,NA
The Sender,"1,054,328","434,884",10/22/1982,NA
Lookin' to Get Out,"946,461","528,559",10/8/1982,NA
"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean","840,958",N/A,11/12/1982,NA
The House Where Evil Dwells,"667,863",N/A,5/14/1982,NA
One from the Heart,"636,796","389,249",2/12/1982,NA
Weavers: Wasn't That a Time,"524,203",N/A,3/3/1982,NA
Monty Python Live at the Hollywood Bowl,"327,958",N/A,6/25/1982,NA
I'm Dancing as Fast as I Can,"291,390",N/A,3/5/1982,NA
Split Image,"263,635",N/A,10/1/1982,NA
Five Days One Summer,"199,078","43,891",11/12/1982,NA
The Escape Artist,"143,369","23,323",5/28/1982,NA
Bugs Bunny's 1001 Rabbit Tales,"78,350","78,350",11/19/1982,NA
National Lampoon's Movie Madness,"63,405",N/A,4/23/1982,NA
White Dog,"46,509",N/A,11/12/1982,NA
Hammett,"42,914",N/A,9/17/1982,NA
"Ladies and Gentlemen, The Fabulous Stains","25,728",N/A,10/15/1982,NA
Love and Money,"14,009",N/A,2/12/1982,NA
Return of the Jedi,"252,583,617","23,019,618",5/25/1983,NA
Terms of Endearment,"108,423,489","3,498,813",11/23/1983,NA
Flashdance,"92,921,203","4,076,124",4/15/1983,NA
Trading Places,"90,404,800","7,348,200",6/10/1983,NA
WarGames,"79,567,667","6,227,804",6/3/1983,NA
Octopussy,"67,893,619","8,902,564",6/10/1983,NA
Sudden Impact,"67,642,693","9,688,561",12/9/1983,NA
Staying Alive,"64,892,670","12,146,143",7/15/1983,NA
Mr. Mom,"64,783,827","947,197",7/22/1983,NA
Risky Business,"63,541,777","4,275,327",8/5/1983,NA
National Lampoon's Vacation,"61,399,552","8,333,358",7/29/1983,NA
Superman III,"59,950,623","13,352,357",6/17/1983,NA
The Big Chill,"56,342,711","3,662,152",9/30/1983,NA
Never Say Never Again,"55,432,841","10,958,157",10/7/1983,NA
Jaws 3-D,"45,517,055","13,422,500",7/22/1983,NA
Scarface (1983),"44,668,798","4,597,536",12/9/1983,NA
Blue Thunder,"42,313,354","8,258,149",5/13/1983,NA
Yentl,"40,218,899","3,050,219",11/18/1983,NA
Silkwood,"35,615,609","1,218,322",12/16/1983,NA
Psycho II,"34,725,000","8,310,244",6/3/1983,NA
Porky's II: The Next Day,"33,759,266","7,054,988",6/24/1983,NA
Uncommon Valor,"30,503,151","3,144,367",12/16/1983,NA
Snow White and the Seven Dwarfs (Re-issue) (1983),"30,100,000","6,017,914",7/15/1983,NA
Never Cry Wolf,"29,600,000","1,116,437",10/7/1983,NA
Twilight Zone: The Movie,"29,450,919","6,614,366",6/24/1983,NA
Easy Money,"29,309,766","5,844,974",8/19/1983,NA
High Road to China,"28,445,927","6,156,049",3/18/1983,NA
The Outsiders,"25,697,647","5,068,165",3/25/1983,NA
Spring Break,"24,071,666","5,908,574",3/25/1983,NA
Two of a Kind,"23,646,952","3,344,942",12/16/1983,NA
My Tutor,"22,587,834","435,188",3/4/1983,NA
Class,"21,667,789","4,553,233",7/22/1983,NA
The Right Stuff,"21,192,102","1,601,167",10/21/1983,NA
Cujo,"21,156,152","6,114,899",8/12/1983,NA
Christine,"21,017,849","3,408,904",12/9/1983,NA
The Rescuers (Re-issue),"21,000,000","2,111,582",12/16/1983,NA
The Dead Zone,"20,766,616","4,556,083",10/21/1983,NA
Breathless,"19,910,002","4,384,369",5/13/1983,NA
A Christmas Story,"19,294,144","2,072,473",11/18/1983,NA
Max Dugan Returns,"17,613,720","2,791,002",3/25/1983,NA
Valley Girl,"17,343,596","1,856,780",4/29/1983,NA
All the Right Moves,"17,233,166","1,625,486",10/21/1983,NA
Krull,"16,519,460","5,469,415",7/29/1983,NA
Spacehunter: Adventures in the Forbidden Zone,"16,478,265","7,053,016",5/20/1983,NA
Richard Pryor: Here and Now,"16,156,776","3,701,609",10/28/1983,NA
D.C. Cab,"16,134,627","1,564,530",12/16/1983,NA
Gorky Park,"15,856,028","1,290,754",12/16/1983,NA
Cheech & Chong Still Smokin',"15,543,710","3,085,705",5/6/1983,NA
Monty Python's The Meaning of Life,"14,929,552","1,987,853",4/1/1983,NA
Educating Rita,"14,648,076","73,518",9/23/1983,NA
Private School,"14,049,540","4,411,861",7/29/1983,NA
The Survivors,"14,000,000","3,044,927",6/24/1983,NA
The Entity,"13,277,558","3,685,654",2/4/1983,NA
Revenge of the Ninja,"13,168,027","2,114,125",9/9/1983,NA
To Be or Not to Be (1983),"13,030,214","1,020,958",12/16/1983,NA
Stroker Ace,"13,000,000","4,668,135",7/1/1983,NA
Lone Wolf McQuade,"12,232,628","4,295,300",4/15/1983,NA
The Black Stallion Returns,"12,049,108","2,923,297",3/25/1983,NA
The Sword in the Stone (Re-issue),"12,000,000","2,230,614",3/25/1983,NA
Deathstalker,"11,919,250","456,700",9/2/1983,NA
Zelig,"11,798,616","60,119",7/15/1983,NA
The Lords of Discipline,"11,787,127","3,011,932",2/18/1983,NA
Raiders of the Lost Ark (Re-issue) (1983),"11,374,454","1,327,451",3/25/1983,NA
The Smurfs and the Magic Flute,"11,234,220","1,180,582",10/7/1983,NA
The Man Who Loved Women,"10,964,231","1,347,032",12/16/1983,NA
Hercules (1983),"10,676,194","3,473,635",8/26/1983,NA
The House on Sorority Row,"10,604,986","617,661",1/21/1983,NA
Doctor Detroit,"10,375,893","3,295,722",5/6/1983,NA
Deal of the Century,"10,369,581","3,520,605",11/4/1983,NA
The Man with Two Brains,"10,353,438","3,498,931",6/3/1983,NA
The Year of Living Dangerously,"10,278,575","35,000",1/21/1983,NA
Brainstorm,"10,219,460","1,196,965",9/30/1983,NA
Lovesick,"10,171,304","3,093,281",2/18/1983,NA
Without a Trace,"9,632,062","1,609,448",2/4/1983,NA
Bad Boys (1983),"9,190,819","2,171,197",3/25/1983,NA
Rear Window (Re-issue) (1983),"9,084,420",N/A,9/30/1983,NA
