Title,Earnings,Opening Weekend,Opening Date,Close Date
Princesas,"29,472","5,147",8/23/2006,11/9/2006
Romantico,"29,460","2,808",11/1/2006,2/11/2006
Broken Sky,"29,185","4,956",9/29/2006,1/11/2006
The Piano Tuner of Earthquakes,"29,121",944,11/17/2006,4/19/2006
The Heart Is Deceitful Above All Things,"29,058","10,000",3/10/2006,3/30/2006
Don't Tell,"29,015","13,805",3/17/2006,3/30/2006
Guys and Balls,"28,324","7,425",4/28/2006,6/8/2006
The Blossoming of Maximo Oliveros,"28,041","6,690",9/22/2006,10/15/2006
Boy's Briefs 4,"27,449","5,919",7/21/2006,8/24/2006
Who Gets to Call It Art?,"27,344","7,520",2/1/2006,3/5/2006
Iron Island,"27,177","3,093",3/31/2006,9/7/2006
Abduction: The Megumi Yokota Story,"26,859","5,034",11/24/2006,2/11/2006
Trudell,"26,756","1,592",2/3/2006,4/6/2006
Khosla Ka Ghosla,"26,472","12,091",9/22/2006,10/8/2006
Unknown (2006),"26,403","3,746",11/3/2006,12/21/2006
Through the Fire,"25,752","14,769",2/10/2006,2/19/2006
Wrestling with Angels: Playwright Tony Kushner,"24,729","5,944",10/4/2006,12/10/2006
Two Drifters,"24,452","5,289",6/23/2006,9/28/2006
Off the Black,"24,425","6,763",12/8/2006,2/15/2006
A Year Without Love,"24,381","3,435",2/10/2006,5/11/2006
The Strange Case of Dr. Jekyll and Mr. Hyde,"24,216","19,111",9/29/2006,10/5/2006
American Gun,"24,098","9,355",3/22/2006,6/1/2006
When the Sea Rises,"24,038","8,058",1/13/2006,4/6/2006
Islam: What the West Needs to Know,"22,938","12,184",7/7/2006,7/13/2006
Ambrose Bierce: Civil War Stories,"22,918","4,402",9/14/2006,11/5/2006
F**k,"22,359","5,299",11/10/2006,12/14/2006
Excellent Cadavers,"22,300","6,695",7/12/2006,7/23/2006
Giuliani Time,"21,967","8,661",5/12/2006,6/11/2006
So Much So Fast,"21,525","1,015",10/11/2006,12/10/2006
Yang Ban Xi,"21,244","2,875",2/8/2006,12/10/2006
The Case of the Grinning Cat,"20,944","1,410",7/21/2006,1/1/2006
Killer Diller,"20,795","17,346",4/28/2006,5/4/2006
The Secret Life of Words,"20,678","5,309",12/15/2006,5/10/2006
4,"20,523","5,815",4/7/2006,4/27/2006
London,"20,361","12,667",2/10/2006,2/16/2006
Words of My Perfect Teacher,"20,318","2,300",12/22/2006,2/15/2006
State of Fear,"20,055","16,075",1/11/2006,1/16/2006
The Ground Truth,"20,013","12,207",9/15/2006,9/21/2006
The Dead Girl,"19,875","6,613",12/29/2006,1/11/2006
El Perro,"19,791",N/A,6/9/2006,6/29/2006
Favela Rising,"19,781","7,768",6/2/2006,8/24/2006
Suicide Killers,"18,239","10,601",8/25/2006,8/31/2006
Cruel World,"17,986","11,160",10/27/2006,11/26/2006
Film Geek,"17,341","5,415",1/13/2006,4/9/2006
Ever Again,"17,304","10,802",12/8/2006,12/14/2006
April's Shower,"16,377","11,566",1/13/2006,3/30/2006
Cautiva,"16,259","2,220",11/10/2006,12/14/2006
I Like Killing Flies,"16,214","5,487",7/28/2006,8/17/2006
No Restraint,"16,136","1,241",12/20/2006,3/4/2006
Sleeping Dogs Lie,"15,745","10,890",10/20/2006,10/26/2006
Evil,"15,530","2,448",3/10/2006,5/11/2006
My First Wedding,"14,982","10,120",8/18/2006,8/24/2006
Hannari - Geisha Modern,"14,974","9,930",11/17/2006,11/23/2006
Shem,"14,804","3,794",5/26/2006,7/6/2006
Opal Dream,"14,443","2,716",11/22/2006,5/10/2006
The Devil's Miner,"14,289","4,393",3/17/2006,5/25/2006
The Architect,"13,737","2,032",12/1/2006,12/21/2006
Who the #$&% Is Jackson Pollock,"13,710","5,526",11/15/2006,11/30/2006
One Last Thing...,"13,334","9,160",5/5/2006,5/11/2006
The World According to Shorts,"12,908","3,780",7/21/2006,6/21/2006
I Trust You to Kill Me,"12,854","5,888",9/8/2006,10/5/2006
Christmas at Maxwell's,"12,781","8,375",12/1/2006,12/14/2006
Backstage (2006),"12,663","1,010",11/22/2006,2/8/2006
Autumn,"12,655","3,600",6/9/2006,6/29/2006
"The Photographer, His Wife, Her Lover","12,546","2,630",7/26/2006,1/1/2006
Woman Is the Future of Man,"11,807","4,763",3/3/2006,5/7/2006
Waltzing Anna,"11,455","5,866",8/11/2006,9/7/2006
Live Freaky! Die Freaky!,"11,290","11,290",1/27/2006,1/29/2006
The Conrad Boys,"11,001","3,243",6/2/2006,6/29/2006
White Rainbow,"10,529","4,180",4/7/2006,1/17/2006
Forgiving Dr. Mengele,"10,403","2,754",2/24/2006,11/19/2006
So Goes the Nation,"10,337","2,622",10/4/2006,11/16/2006
Zindagi Rocks,"10,172","8,330",10/6/2006,10/15/2006
The Tiger and the Snow,"10,167","3,701",12/29/2006,1/11/2006
Solo Con Tu Pareja,"9,915","3,921",9/20/2006,10/5/2006
Requiem,"9,600","3,309",10/18/2006,11/30/2006
Blackballed: The Bobby Dukes Story,"9,528","2,784",4/14/2006,4/30/2006
Crazy Like a Fox,"9,376","4,667",5/5/2006,5/18/2006
Rolling Family,"9,291",849,9/8/2006,11/12/2006
Illusion,"9,261","9,261",2/17/2006,2/20/2006
Little Fish,"8,148","6,127",2/24/2006,3/2/2006
Fall to Grace,"8,043","2,214",6/16/2006,7/13/2006
Coastlines,"7,883",736,5/31/2006,7/6/2006
Zerophilia,"7,763","2,616",10/13/2006,11/9/2006
Kill Your Idols,"7,753","3,274",7/7/2006,7/30/2006
El Sueno del Regreso,"7,668","5,659",3/10/2006,3/16/2006
The Whore's Son,"7,656","2,157",4/28/2006,7/13/2006
Masai: The Rain Warriors,"7,650",788,10/20/2006,4/29/2006
loudQUIETloud: A Film About The Pixies,"7,506","3,792",9/29/2006,10/5/2006
The Cult of the Suicide Bomber,"7,451","3,609",6/2/2006,6/11/2006
Kettle of Fish,"7,196","5,594",10/6/2006,10/15/2006
Saint of 9/11,"7,137","3,680",9/6/2006,9/14/2006
"Sorry, Haters","7,129","2,207",3/1/2006,3/23/2006
Mendy - A Question of Faith,"7,123","2,787",5/12/2006,5/21/2006
20 Centimeters,"6,635","2,177",10/27/2006,11/16/2006
We Go Way Back,"6,529","4,514",9/15/2006,9/24/2006
Beyond Honor,"6,437","1,114",3/17/2006,4/27/2006
Dead Man's Shoes,"6,408","1,825",5/12/2006,6/1/2006
Dreamland,"6,383","4,350",12/1/2006,12/7/2006
Jailbait,"5,741","1,890",8/4/2006,9/7/2006
Pizza,"5,716","4,059",1/20/2006,1/26/2006
Unnatural and Accidental,"5,420","3,348",12/1/2006,12/10/2006
Say Uncle,"5,361","2,485",6/23/2006,7/13/2006
Hair High,"5,342",983,8/4/2006,-/2006
Land of the Blind,"5,244","5,244",6/16/2006,6/18/2006
Room,"5,228","1,840",4/6/2006,4/20/2006
King Leopold's Ghost,"5,194","3,078",8/18/2006,8/24/2006
The Pusher Trilogy,"4,815","1,792",8/18/2006,8/31/2006
50 Ways of Saying Fabulous,"4,800","4,800",6/2/2006,6/4/2006
Street Fight,"4,779","3,888",2/22/2006,2/26/2006
The Fall of Fujimori,"4,630",779,5/5/2006,-/2006
The Dogwalker,"4,604","2,850",9/8/2006,9/24/2006
The Tollbooth,"4,546","4,546",2/3/2006,2/5/2006
Looking for Kitty,"4,480","3,210",9/1/2006,9/7/2006
Cowboy del Amor,"4,438","4,438",2/10/2006,2/12/2006
Coffee Date,"4,412","4,412",11/10/2006,11/12/2006
Soap,"4,164","1,445",11/3/2006,1/11/2006
Simon,"4,055","2,453",4/7/2006,4/20/2006
Psychopathia Sexualis,"4,012","1,612",6/8/2006,7/20/2006
Going Under,"3,917","2,311",6/15/2006,6/22/2006
Shock to the System,"3,768","2,750",8/4/2006,8/24/2006
Blossoms of Fire,"3,365","2,390",2/3/2006,2/9/2006
The Ordeal (Calvaire),"3,260",890,8/11/2006,10/12/2006
95 Miles to Go,"3,195","2,203",4/7/2006,4/13/2006
Four Eyed Monsters,"3,135","1,886",12/1/2006,12/7/2006
George Bush Goes to Heaven,"2,976","2,112",8/15/2006,-/2006
Dog Lover's Symphony,"2,968","1,442",6/16/2006,6/25/2006
Agnes and His Brothers,"2,731","1,544",6/9/2006,8/20/2006
Out of Place,"2,547","1,906",10/11/2006,10/15/2006
Herbie Hancock: Possibilities,"2,493","1,772",4/14/2006,4/20/2006
Rank,"2,485",314,6/28/2006,7/4/2006
The Big Question,"2,248",466,3/17/2006,3/30/2006
Mirage,"2,241","1,511",3/17/2006,3/23/2006
Workingman's Death,"2,214","2,214",2/24/2006,2/26/2006
Mouth to Mouth,"2,150","1,406",5/19/2006,-/2006
Tenants,"2,010","2,010",2/3/2006,2/5/2006
The Surfer King,"1,990","1,990",4/7/2006,4/9/2006
FAQs,"1,967","1,407",2/3/2006,2/9/2006
Abominable,"1,810","1,810",4/14/2006,4/16/2006
Power and Terror (2006 playdate),"1,703",681,8/4/2006,8/10/2006
Headspace,"1,650","1,430",2/17/2006,2/20/2006
Be with Me,"1,365","1,200",9/29/2006,10/5/2006
The Long Weekend,"1,286","1,286",6/9/2006,6/11/2006
The Color of Olives,"1,169",555,7/12/2006,7/20/2006
The Ister,"1,124","1,124",2/10/2006,2/12/2006
The Empire in Africa ,"1,088","1,088",12/8/2006,12/10/2006
The Trouble with Men and Women,967,375,8/9/2006,8/17/2006
In Her Line of Fire,884,232,4/21/2006,5/4/2006
Doing Time for Patsy Cline,831,831,3/3/2006,3/5/2006
Issues,783,783,10/6/2006,10/8/2006
Uncut,762,390,6/16/2006,6/22/2006
A New Day in Old Sana'a,737,401,11/10/2006,11/16/2006
Serum,440,N/A,10/30/2006,11/2/2006
Zyzzyx Road,30,20,2/25/2006,3/2/2006
Spider-Man 3,"336,530,303","151,116,516",5/4/2007,8/19/2007
Shrek the Third,"322,719,944","121,629,270",5/18/2007,8/9/2007
Transformers,"319,246,193","70,502,384",7/3/2007,11/8/2007
Pirates of the Caribbean: At World's End,"309,420,425","114,732,820",5/25/2007,10/4/2007
Harry Potter and the Order of the Phoenix,"292,004,738","77,108,414",7/11/2007,12/13/2007
I Am Legend,"256,393,010","77,211,321",12/14/2007,4/10/2007
The Bourne Ultimatum,"227,471,070","69,283,690",8/3/2007,11/29/2007
National Treasure: Book of Secrets,"219,964,115","44,783,772",12/21/2007,6/19/2007
Alvin and the Chipmunks,"217,326,974","44,307,417",12/14/2007,6/5/2007
300,"210,614,939","70,885,301",3/9/2007,7/12/2007
Ratatouille,"206,445,654","47,027,395",6/29/2007,12/13/2007
The Simpsons Movie,"183,135,014","74,036,787",7/27/2007,12/20/2007
Wild Hogs,"168,273,550","39,699,023",3/2/2007,8/2/2007
Knocked Up,"148,768,917","30,690,990",6/1/2007,-/2007
Juno,"143,495,265","413,869",12/5/2007,6/19/2007
Rush Hour 3,"140,125,968","49,100,158",8/10/2007,11/15/2007
Live Free or Die Hard,"134,529,403","33,369,559",6/27/2007,11/8/2007
Fantastic Four: Rise of the Silver Surfer,"131,921,738","58,051,684",6/15/2007,10/18/2007
American Gangster,"130,164,645","43,565,135",11/2/2007,1/31/2007
Enchanted,"127,807,262","34,440,317",11/21/2007,3/13/2007
Bee Movie,"126,631,277","38,021,044",11/2/2007,2/14/2007
Superbad,"121,463,226","33,052,411",8/17/2007,10/21/2007
I Now Pronounce You Chuck and Larry,"120,059,556","34,233,750",7/20/2007,10/18/2007
Hairspray (2007),"118,871,849","27,476,745",7/20/2007,10/25/2007
Blades of Glory,"118,594,548","33,014,202",3/30/2007,7/12/2007
Ocean's Thirteen,"117,154,724","36,133,403",6/8/2007,9/20/2007
Ghost Rider,"115,802,596","45,388,836",2/16/2007,4/29/2007
Evan Almighty,"100,462,298","31,192,615",6/22/2007,-/2007
Meet the Robinsons,"97,822,171","25,123,781",3/30/2007,9/6/2007
Norbit,"95,673,607","34,195,434",2/9/2007,5/3/2007
The Bucket List,"93,466,502","335,837",12/25/2007,6/5/2007
The Game Plan,"90,648,202","22,950,971",9/28/2007,2/18/2007
Beowulf,"82,280,579","27,515,871",11/16/2007,1/31/2007
Bridge to Terabithia,"82,272,442","22,564,612",2/16/2007,6/28/2007
Disturbia,"80,209,692","22,224,982",4/13/2007,8/2/2007
No Country for Old Men,"74,283,625","1,226,333",11/9/2007,4/10/2007
Fred Claus,"72,006,777","18,515,473",11/9/2007,2/14/2007
1408,"71,985,628","20,617,667",6/22/2007,10/11/2007
The Golden Compass,"70,107,728","25,783,232",12/7/2007,3/6/2007
Charlie Wilson's War,"66,661,095","9,656,250",12/21/2007,3/6/2007
Saw IV,"63,300,095","31,756,764",10/26/2007,12/13/2007
Stomp the Yard,"61,356,221","21,833,312",1/12/2007,3/18/2007
Surf's Up,"58,867,694","17,640,249",6/8/2007,8/26/2007
Halloween (2007),"58,272,029","26,362,367",8/31/2007,12/13/2007
Tyler Perry's Why Did I Get Married?,"55,204,525","21,353,789",10/12/2007,12/13/2007
TMNT,"54,149,098","24,255,205",3/23/2007,6/21/2007
P.S. I Love You,"53,695,808","6,481,221",12/21/2007,3/13/2007
3:10 to Yuma (2007),"53,606,916","14,035,033",9/7/2007,11/15/2007
Sweeney Todd: The Demon Barber of Fleet Street,"52,898,073","9,300,805",12/21/2007,3/20/2007
Atonement,"50,927,067","784,145",12/7/2007,4/10/2007
Resident Evil: Extinction,"50,648,679","23,678,580",9/21/2007,10/28/2007
Music and Lyrics,"50,572,589","13,623,630",2/14/2007,5/17/2007
Are We Done Yet?,"49,662,533","14,262,724",4/4/2007,7/5/2007
This Christmas,"49,121,934","17,958,183",11/21/2007,1/6/2007
Michael Clayton,"49,033,882","719,910",10/5/2007,3/20/2007
Premonition,"47,852,604","17,558,689",3/16/2007,4/29/2007
Dan in Real Life,"47,642,963","11,809,445",10/26/2007,2/10/2007
The Kingdom,"47,536,778","17,135,055",9/28/2007,12/31/2007
Shooter,"47,003,582","14,523,571",3/23/2007,6/14/2007
License to Wed,"43,799,818","10,422,258",7/3/2007,10/4/2007
Underdog,"43,760,605","11,585,121",8/3/2007,12/13/2007
No Reservations,"43,107,979","11,704,357",7/27/2007,11/15/2007
Because I Said So,"42,674,040","13,122,865",2/2/2007,4/5/2007
Aliens Vs. Predator - Requiem,"41,797,066","10,059,425",12/25/2007,3/23/2007
The Water Horse: Legend of the Deep,"40,946,255","9,186,054",12/25/2007,2/10/2007
There Will Be Blood,"40,222,514","190,739",12/26/2007,5/1/2007
Epic Movie,"39,739,367","18,612,544",1/26/2007,5/3/2007
Hitman,"39,687,694","13,180,769",11/21/2007,3/13/2007
30 Days of Night,"39,568,996","15,951,902",10/19/2007,11/25/2007
Fracture,"39,015,018","11,014,657",4/20/2007,7/26/2007
Stardust,"38,634,938","9,169,779",8/10/2007,10/25/2007
The Brave One,"36,793,804","13,471,488",9/14/2007,11/29/2007
The Heartbreak Kid,"36,787,257","14,022,105",10/5/2007,12/6/2007
Freedom Writers,"36,605,602","9,405,582",1/5/2007,3/15/2007
Smokin' Aces,"35,787,686","14,638,755",1/26/2007,3/15/2007
The Messengers,"35,374,833","14,713,321",2/2/2007,3/18/2007
The Number 23,"35,193,167","14,602,867",2/23/2007,3/29/2007
Good Luck Chuck,"35,017,297","13,652,001",9/21/2007,11/15/2007
Mr. Bean's Holiday,"33,302,167","9,889,780",8/24/2007,10/18/2007
Breach,"33,231,264","10,504,990",2/16/2007,4/12/2007
Zodiac,"33,080,084","13,395,610",3/2/2007,5/3/2007
Balls of Fury,"32,886,940","11,352,123",8/29/2007,11/15/2007
Mr. Magorium's Wonder Emporium,"32,061,555","9,630,085",11/16/2007,3/13/2007
August Rush,"31,664,162","9,421,369",11/21/2007,2/28/2007
Tyler Perry's Daddy's Little Girls,"31,366,978","11,210,754",2/14/2007,3/29/2007
The Great Debaters,"30,236,407","6,005,180",12/25/2007,4/17/2007
28 Weeks Later,"28,638,916","9,807,292",5/11/2007,8/16/2007
We Own the Night,"28,563,179","10,826,287",10/12/2007,11/11/2007
Mr. Brooks,"28,549,298","10,017,067",6/1/2007,-/2007
Hannibal Rising,"27,670,986","13,051,650",2/9/2007,5/10/2007
The Nanny Diaries,"25,930,652","7,480,927",8/24/2007,11/29/2007
Mr. Woodcock,"25,799,486","8,761,369",9/14/2007,11/15/2007
Nancy Drew,"25,612,520","6,832,318",6/15/2007,8/30/2007
The Mist,"25,594,957","8,931,973",11/21/2007,3/20/2007
The Reaping,"25,126,214","10,025,203",4/5/2007,6/7/2007
Grindhouse,"25,037,897","11,596,613",4/6/2007,6/21/2007
Sicko,"24,540,079","68,969",6/22/2007,10/18/2007
Across the Universe,"24,343,673","667,784",9/14/2007,12/9/2007
Perfect Stranger,"23,984,949","11,206,163",4/13/2007,-/2007
Sea Monsters: A Prehistoric Adventure (IMAX),"23,746,066","605,722",10/5/2007,9/11/2007
Hot Fuzz,"23,637,265","5,848,464",4/20/2007,7/26/2007
WAR,"22,486,409","9,820,089",8/24/2007,10/4/2007
The Last Mimzy,"21,471,047","10,024,819",3/23/2007,6/14/2007
Amazing Grace,"21,250,683","4,054,542",2/23/2007,6/14/2007
The Hills Have Eyes 2,"20,804,166","9,686,362",3/23/2007,6/7/2007
The Invisible,"20,578,909","7,717,309",4/27/2007,7/26/2007
Reno 911!: Miami,"20,342,161","10,273,477",2/23/2007,5/3/2007
Gone Baby Gone,"20,300,218","5,501,406",10/19/2007,1/1/2007
Reign Over Me,"19,661,987","7,460,690",3/23/2007,4/29/2007
Vacancy,"19,363,565","7,603,376",4/20/2007,-/2007
Georgia Rule,"19,103,072","6,773,870",5/11/2007,6/28/2007
Waitress,"19,074,800","92,034",5/2/2007,10/25/2007
Becoming Jane,"18,670,946","972,066",8/3/2007,10/25/2007
Into the Wild,"18,354,356","212,440",9/21/2007,3/27/2007
Walk Hard: The Dewey Cox Story,"18,317,151","4,174,383",12/21/2007,1/13/2007
Next,"18,211,013","7,133,049",4/27/2007,6/21/2007
Hostel Part II,"17,609,452","8,203,391",6/8/2007,7/5/2007
Eastern Promises,"17,266,000","547,092",9/14/2007,-/2007
Dead Silence,"16,809,076","7,842,725",3/16/2007,4/19/2007
The Hitcher (2007),"16,472,961","7,818,239",1/19/2007,3/18/2007
Elizabeth: The Golden Age,"16,383,509","6,153,075",10/12/2007,12/31/2007
The Kite Runner,"15,800,078","471,713",12/14/2007,4/17/2007
Happily N'Ever After,"15,589,393","6,608,244",1/5/2007,2/15/2007
Catch and Release,"15,539,051","7,658,898",1/26/2007,3/18/2007
Alpha Dog,"15,309,602","6,412,775",1/12/2007,2/22/2007
The Invasion,"15,074,191","5,951,409",8/17/2007,10/11/2007
Lions for Lambs,"15,002,854","6,702,434",11/9/2007,2/7/2007
Tim Burton's The Nightmare Before Christmas in Disney Digital 3-D (2007 re-issue),"14,486,897","5,330,101",10/19/2007,12/13/2007
Awake,"14,377,198","5,856,872",11/30/2007,3/6/2007
Hot Rod,"13,938,332","5,310,711",8/3/2007,9/27/2007
Firehouse Dog,"13,932,383","3,838,916",4/4/2007,8/2/2007
The Namesake,"13,569,248","248,552",3/9/2007,8/5/2007
The Comebacks,"13,349,927","5,554,594",10/19/2007,12/27/2007
Daddy Day Camp,"13,235,267","3,402,678",8/8/2007,10/14/2007
Shoot 'Em Up,"12,807,139","5,716,554",9/7/2007,10/21/2007
I Think I Love My Wife,"12,550,605","5,674,802",3/16/2007,5/31/2007
Evening,"12,492,481","3,501,971",6/29/2007,8/2/2007
The Darjeeling Limited,"11,902,715","134,938",9/29/2007,2/28/2007
Sydney White,"11,892,415","5,196,380",9/21/2007,12/31/2007
The Lives of Others,"11,286,112","213,589",2/9/2007,9/13/2007
In the Land of Women,"11,052,958","4,712,341",4/20/2007,6/28/2007
The Astronaut Farmer,"11,003,643","4,454,319",2/23/2007,4/26/2007
Dragon Wars,"10,977,721","5,041,239",9/14/2007,10/18/2007
Primeval,"10,597,734","6,048,315",1/12/2007,3/8/2007
La Vie en Rose,"10,301,706","179,848",6/8/2007,4/10/2007
Pathfinder: Legend of the Ghost Warrior,"10,232,081","5,001,214",4/13/2007,6/17/2007
BRATZ,"10,010,209","4,208,455",8/3/2007,11/1/2007
Rendition,"9,736,045","4,060,012",10/19/2007,11/15/2007
Death Sentence,"9,534,258","4,231,321",8/31/2007,11/1/2007
Once,"9,439,923","61,901",5/16/2007,12/20/2007
Black Snake Moan,"9,396,870","4,143,199",3/2/2007,5/24/2007
A Mighty Heart,"9,176,787","3,948,863",6/22/2007,8/23/2007
The Seeker: The Dark Is Rising,"8,794,452","3,745,315",10/5/2007,12/20/2007
Death at a Funeral (2007),"8,580,428","1,282,973",8/17/2007,1/3/2007
Code Name: The Cleaner,"8,135,024","4,244,142",1/5/2007,2/1/2007
Delta Farce,"8,130,530","3,420,645",5/11/2007,6/14/2007
Bella,"8,070,537","1,328,448",10/26/2007,7/2/2007
El Cantante,"7,556,712","3,202,035",8/3/2007,10/4/2007
Martian Child,"7,500,310","3,376,669",11/2/2007,12/13/2007
I Know Who Killed Me,"7,498,716","3,506,291",7/27/2007,-/2007
The Condemned,"7,371,706","3,807,595",4/27/2007,5/24/2007
The Hoax,"7,164,995","1,449,320",4/6/2007,5/31/2007
The Orphanage,"7,161,284","233,323",12/28/2007,4/10/2007
Before the Devil Knows You're Dead,"7,084,227","73,837",10/26/2007,3/13/2007
Pride,"7,057,600","3,533,300",3/23/2007,4/26/2007
Bug,"7,025,810","3,245,556",5/25/2007,6/21/2007
Redline,"6,881,022","3,962,385",4/13/2007,5/24/2007
In the Valley of Elah,"6,777,741","133,557",9/14/2007,2/21/2007
The Savages,"6,623,082","151,859",11/28/2007,4/27/2007
The Diving Bell and the Butterfly,"6,003,227","75,721",11/30/2007,4/10/2007
Lars and the Real Girl,"5,972,884","90,418",10/12/2007,3/6/2007
The Last Legion,"5,933,494","2,746,312",8/17/2007,11/1/2007
Feel the Noise,"5,898,393","3,187,153",10/5/2007,-/2007
The Perfect Holiday,"5,812,781","2,283,360",12/12/2007,2/7/2007
Lucky You,"5,758,950","2,710,445",5/4/2007,7/5/2007
Who's Your Caddy?,"5,713,425","2,756,661",7/27/2007,-/2007
Aqua Teen Hunger Force Colon Movie Film for Theaters,"5,520,368","3,005,175",4/13/2007,6/14/2007
Rescue Dawn,"5,490,423","110,326",7/4/2007,-/2007
"Paris, je t'aime","4,899,278","39,242",5/4/2007,8/9/2007
Love in the Time of Cholera,"4,607,608","1,924,860",11/16/2007,12/20/2007
"Lust, Caution","4,604,982","63,918",9/28/2007,1/24/2007
The Lookout,"4,600,585","2,017,795",3/30/2007,5/3/2007
Away from Her,"4,571,521","114,628",5/4/2007,7/19/2007
Talk to Me,"4,533,261","402,000",7/13/2007,9/27/2007
Kickin' It Old Skool,"4,502,604","2,484,624",4/27/2007,7/12/2007
Persepolis,"4,445,756","88,826",12/25/2007,5/22/2007
2 Days in Paris,"4,433,994","173,641",8/10/2007,12/6/2007
Black Book,"4,398,532","112,521",4/4/2007,8/23/2007
I'm Not There,"4,017,609","730,819",11/21/2007,3/6/2007
Ladron Que Roba A Ladron,"4,011,254","1,626,090",8/31/2007,10/18/2007
P2,"3,995,018","2,083,398",11/9/2007,12/20/2007
The Assassination of Jesse James by the Coward Robert Ford,"3,909,149","147,812",9/21/2007,1/31/2007
Nitro,"3,768,878",N/A,6/29/2007,11/18/2007
Sunshine,"3,675,753","242,964",7/20/2007,10/18/2007
Om Shanti Om,"3,597,372","1,764,131",11/9/2007,12/13/2007
The Jane Austen Book Club,"3,575,227","148,549",9/21/2007,12/20/2007
Blood and Chocolate,"3,526,847","2,074,300",1/26/2007,3/29/2007
Feast of Love,"3,511,074","1,707,967",9/28/2007,-/2007
The Ultimate Gift,"3,438,735","1,241,079",3/9/2007,5/20/2007
Things We Lost in the Fire,"3,287,315","1,561,949",10/19/2007,11/8/2007
Resurrecting the Champ,"3,172,573","1,667,659",8/24/2007,10/4/2007
Illegal Tender,"3,106,835","1,425,915",8/24/2007,9/20/2007
The Ex,"3,093,394","1,394,229",5/11/2007,7/12/2007
Gracie,"2,956,339","1,355,904",6/1/2007,7/26/2007
Peaceful Warrior (re-issue),"2,893,666",N/A,3/30/2007,4/8/2007
"Ma Fille, Mon Ange","2,779,545","795,000",2/16/2007,5/20/2007
Captivity,"2,626,800","1,429,100",7/13/2007,7/29/2007
The Polar Express (IMAX re-issue 2007),"2,483,757","1,968",10/5/2007,1/17/2007
You Kill Me,"2,429,367","233,709",6/22/2007,8/23/2007
The Host,"2,201,923","314,488",3/9/2007,7/12/2007
Guru,"2,096,000","760,000",1/12/2007,2/22/2007
Avenue Montaigne,"2,044,858","29,377",2/16/2007,7/26/2007
Margot at the Wedding,"1,959,420","81,035",11/16/2007,1/31/2007
The Valet,"1,926,800","67,552",4/20/2007,8/30/2007
Salaam-E-Ishq,"1,852,050","949,000",1/25/2007,2/15/2007
The Wind That Shakes the Barley,"1,836,089","135,554",3/16/2007,7/12/2007
Blade Runner: The Final Cut,"1,548,502","89,150",10/5/2007,4/3/2007
Year of the Dog,"1,540,141","108,223",4/13/2007,6/28/2007
After the Wedding,"1,534,584","47,311",3/30/2007,7/12/2007
L'Age des Tenebres,"1,491,525","277,949",12/7/2007,3/16/2007
Heyy Babyy,"1,443,521","612,486",8/24/2007,9/13/2007
No End in Sight,"1,433,319","31,533",7/27/2007,11/8/2007
My Best Friend,"1,426,784","45,246",7/13/2007,10/25/2007
The Abandoned,"1,331,137","782,000",2/23/2007,3/8/2007
Eklavya - The Royal Guard,"1,290,212","690,423",2/16/2007,3/15/2007
Slow Burn,"1,237,615","778,123",4/13/2007,4/26/2007
Taare Zameen Par,"1,223,869","352,568",12/21/2007,2/3/2007
Namastey London,"1,207,007","578,224",3/23/2007,4/15/2007
The Final Season,"1,159,691","661,049",10/12/2007,11/29/2007
In the Shadow of the Moon,"1,134,358","38,281",9/7/2007,12/27/2007
Chak DE! India,"1,120,404","351,887",8/10/2007,9/20/2007
Silk,"1,103,075","126,537",9/14/2007,11/15/2007
Bhool Bhulaiyaa,"1,097,797","512,000",10/12/2007,11/1/2007
The Golden Door,"1,070,769","27,744",5/25/2007,8/30/2007
September Dawn,"1,066,555","601,857",8/24/2007,9/9/2007
Partner,"1,062,840","584,245",7/20/2007,8/9/2007
Ma Tante Aline,"1,025,852","207,145",7/20/2007,-/2007
Skinwalkers,"1,018,965","553,520",8/10/2007,8/26/2007
Thr3e,"1,008,849","700,000",1/5/2007,-/2007
Goya's Ghosts,"1,000,626","159,671",7/20/2007,11/29/2007
The Hunting Party,"969,869","39,609",9/7/2007,-/2007
Broken English,"956,919","55,198",6/22/2007,9/13/2007
The Ten Commandments (2007),"952,820","478,910",10/19/2007,11/15/2007
The Brothers Solomon,"900,926","508,601",9/7/2007,9/23/2007
Starting Out in the Evening,"898,786","76,214",11/23/2007,6/29/2007
Saawariya,"885,574","542,192",11/9/2007,11/25/2007
Paprika,"882,267","35,593",5/25/2007,10/25/2007
After Dark's Horrorfest 2,"874,635","502,148",11/9/2007,11/18/2007
Ta Ra Rum Pum,"872,643","425,102",4/27/2007,5/28/2007
Control,"872,252","27,674",10/10/2007,1/31/2007
Sarah Landon and the Paranormal Hour,"858,415","586,283",10/19/2007,11/1/2007
Sharkwater,"850,920","37,140",9/28/2007,11/15/2007
Arctic Tale,"833,532","22,607",7/25/2007,10/25/2007
Into Great Silence,"790,452","11,355",2/28/2007,12/2/2007
The Ten,"769,726","121,374",8/3/2007,10/4/2007
Santa Vs. the Snowman - Season 6 (IMAX),"769,405","9,815",11/8/2007,1/17/2007
Provoked: A True Story,"761,740","30,000",5/11/2007,5/28/2007
Rocket Science,"714,943","58,536",8/10/2007,10/25/2007
The 11th Hour,"707,343","60,853",8/17/2007,10/4/2007
